               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11354,             0.13083,            0.037427,             0.76924,             0.17098,             0.15012,             0.04111,            0.093012,             0.26062,            0.040547,            0.070556,           0.0032716,           0.0032716
                   1,            0.080795,             0.12373,            0.024206,             0.46662,             0.27163,               0.148,            0.059388,            0.082276,              0.1155,            0.018011,            0.040534,           0.0065831,           0.0065831
                   2,            0.075778,             0.12164,            0.017556,             0.58091,             0.30184,             0.25577,            0.075044,            0.072026,             0.09927,            0.014849,             0.01049,           0.0098727,           0.0098727
                   3,            0.069479,             0.11889,            0.015344,             0.52556,             0.36058,             0.27196,              0.1088,            0.065814,             0.10014,            0.013505,            0.009901,            0.009901,            0.009901
                   4,             0.06152,             0.12296,            0.014411,             0.72242,             0.45405,             0.47347,             0.19601,            0.052209,            0.099698,            0.012959,            0.009901,            0.009901,            0.009901
                   5,            0.057069,             0.11374,            0.014083,             0.78771,             0.49603,               0.597,             0.26691,            0.053846,            0.092941,            0.012543,            0.009868,            0.009868,            0.009868
                   6,            0.052246,             0.11298,            0.013135,             0.68076,             0.49118,              0.5234,             0.27881,            0.048495,            0.090482,            0.012521,            0.009835,            0.009835,            0.009835
                   7,            0.049097,             0.10983,             0.01271,             0.81184,              0.5215,             0.65899,             0.39048,            0.041504,            0.097143,            0.011663,            0.009802,            0.009802,            0.009802
                   8,            0.049205,             0.10932,             0.01233,             0.57062,             0.72797,             0.72058,             0.35368,            0.047675,            0.089139,            0.011528,            0.009769,            0.009769,            0.009769
                   9,            0.046169,             0.10986,            0.011894,             0.59169,             0.76171,             0.75646,             0.40335,             0.04188,            0.091511,            0.011074,            0.009736,            0.009736,            0.009736
                  10,            0.045305,             0.10764,            0.011656,             0.68125,              0.7426,             0.78467,             0.51616,            0.035468,            0.084923,            0.010377,            0.009703,            0.009703,            0.009703
                  11,            0.043119,             0.10871,            0.011348,             0.68829,             0.76377,             0.80343,             0.45939,            0.039749,            0.085824,            0.010168,             0.00967,             0.00967,             0.00967
                  12,            0.043381,               0.105,            0.010552,              0.7495,             0.75481,              0.8119,             0.52653,            0.036583,            0.083641,           0.0094102,            0.009637,            0.009637,            0.009637
                  13,            0.040735,             0.10749,            0.010612,             0.69122,             0.78096,             0.80043,             0.49699,            0.037311,            0.086306,           0.0096717,            0.009604,            0.009604,            0.009604
                  14,            0.039879,             0.10398,            0.010184,             0.75187,             0.77281,             0.82086,             0.55673,             0.03266,            0.083308,           0.0094386,            0.009571,            0.009571,            0.009571
