               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10523,             0.14341,            0.035614,             0.75313,             0.16835,             0.12798,             0.03515,            0.093225,             0.21231,            0.036876,            0.070556,           0.0032716,           0.0032716
                   1,            0.076444,              0.1197,             0.02742,             0.60743,             0.29027,             0.26501,            0.066883,            0.077569,             0.10997,            0.021547,            0.040534,           0.0065831,           0.0065831
                   2,            0.075863,             0.11386,            0.018902,             0.64111,             0.36776,             0.34268,             0.11003,             0.06954,            0.097369,            0.015219,             0.01049,           0.0098727,           0.0098727
                   3,            0.064948,             0.11143,             0.01581,             0.57834,                0.43,             0.30954,             0.13205,            0.067656,             0.10404,            0.013412,            0.009901,            0.009901,            0.009901
                   4,            0.057732,             0.11254,            0.014183,               0.716,             0.50625,             0.57135,             0.29487,            0.050517,            0.088026,            0.012598,            0.009901,            0.009901,            0.009901
                   5,            0.050962,             0.10443,            0.013066,             0.85754,             0.55303,             0.71059,             0.39466,            0.042421,            0.085601,            0.012121,            0.009868,            0.009868,            0.009868
                   6,            0.046828,             0.10506,            0.012929,             0.37446,             0.80676,              0.6476,             0.40069,            0.040001,            0.084125,            0.011502,            0.009835,            0.009835,            0.009835
                   7,            0.043339,            0.099943,            0.011923,             0.52329,             0.84673,             0.83137,             0.59026,            0.032119,            0.081995,            0.010553,            0.009802,            0.009802,            0.009802
                   8,            0.043294,             0.09983,            0.011658,             0.59961,             0.83555,             0.82575,             0.51769,            0.039696,            0.080371,           0.0099057,            0.009769,            0.009769,            0.009769
                   9,            0.039329,            0.099279,            0.010711,             0.65636,             0.84238,             0.83206,             0.56451,            0.030653,            0.078332,           0.0098637,            0.009736,            0.009736,            0.009736
                  10,            0.041102,            0.096694,           0.0094877,             0.67201,             0.84175,              0.8457,             0.59002,            0.033709,             0.07954,           0.0089239,            0.009703,            0.009703,            0.009703
                  11,            0.038968,            0.096983,           0.0092537,             0.79199,             0.83194,             0.88905,             0.60101,            0.032506,             0.07628,           0.0080607,             0.00967,             0.00967,             0.00967
                  12,            0.038271,            0.093566,             0.00842,             0.80803,             0.84119,             0.87621,             0.61434,            0.030731,            0.075425,           0.0072578,            0.009637,            0.009637,            0.009637
                  13,            0.035934,            0.094814,           0.0085497,             0.83082,             0.83345,             0.89679,             0.63358,            0.029612,            0.075687,              0.0075,            0.009604,            0.009604,            0.009604
                  14,            0.036392,            0.091184,           0.0077069,             0.83073,             0.82482,             0.88686,             0.66097,            0.029699,            0.073664,           0.0070783,            0.009571,            0.009571,            0.009571
                  15,            0.036422,            0.090002,           0.0073803,             0.83513,             0.84454,             0.89565,             0.67098,            0.027774,            0.072736,           0.0067312,            0.009538,            0.009538,            0.009538
                  16,            0.036186,            0.089136,           0.0066321,             0.85159,             0.84953,             0.90435,             0.65641,            0.027764,            0.071953,           0.0063796,            0.009505,            0.009505,            0.009505
                  17,             0.03358,            0.087255,           0.0065151,             0.85523,             0.85562,             0.90862,             0.68176,            0.027082,            0.074503,           0.0064494,            0.009472,            0.009472,            0.009472
